x;result
0.056814692820368454;0.9983864798164056
0.07681469282036846;0.9970512021719145
0.09681469282036846;0.9953171173522853
0.11681469282036847;0.993184918966415
0.13681469282036846;0.990655459863605
0.15681469282036845;0.9877297517923943
0.17681469282036844;0.9844089529437753
0.19681469282036843;0.9806944177555497
0.21681469282036842;0.9765876175452053
0.2368146928203684;0.9720901950273246
0.2568146928203684;0.9672039491534435
0.2768146928203684;0.9619308343933428
0.29681469282036843;0.9562729599540375
0.31681469282036845;0.950232588936786
0.33681469282036847;0.9438121374324696
0.3568146928203685;0.937014173555706
0.3768146928203685;0.9298414164180941
0.3968146928203685;0.9222967350410065
0.41681469282036854;0.9143831472083715
0.43681469282036856;0.9061038182599066
0.4568146928203686;0.8974620598252931
0.4768146928203686;0.8884613284998029
0.4968146928203686;0.879105224461908
0.5168146928203686;0.8693974900334336
0.5368146928203686;0.8593420081828319
0.5568146928203687;0.848942800972176
0.5768146928203687;0.8382040279485019
0.5968146928203687;0.8271299844801414
0.6168146928203687;0.8157251000387148
0.6368146928203687;0.8039939364274701
0.6568146928203688;0.7919411859566834
0.6768146928203688;0.7795716695668472
0.6968146928203688;0.7668903405937735
0.7168146928203688;0.753902258736222
0.7368146928203688;0.7406126262942174
0.7568146928203688;0.7270267588922666
0.7768146928203689;0.7131500906538539
0.7968146928203689;0.6989881720264693
0.8168146928203689;0.6845466675602975
0.8368146928203689;0.6698313536414376
0.8568146928203689;0.6548481161805381
0.876814692820369;0.6396029482577539
0.896814692820369;0.6241019477249518
0.916814692820369;0.6083513147661066
0.936814692820369;0.5923573494168529
0.956814692820369;0.5761264490441722
0.976814692820369;0.5596651057872115
0.996814692820369;0.5429799039602518
1.016814692820369;0.5260775174188514
1.036814692820369;0.5089647068902163
1.056814692820369;0.49164831726885394
1.076814692820369;0.474135274878592
1.096814692820369;0.4564325847020476
1.116814692820369;0.43854732532139457
1.136814692820369;0.42048665586756134
1.156814692820369;0.4022577971259834
1.176814692820369;0.38386804046218787
1.1968146928203691;0.36532474158238765
1.2168146928203691;0.34663531759486965
