x;result
-1.2831853071796324;3.5253200406824052
-1.2631853071796324;3.3026989832443663
-1.2431853071796324;3.107693719552389
-1.2231853071796324;2.935541176643109
-1.2031853071796323;2.782515067256708
-1.1831853071796323;2.645658413474459
-1.1631853071796323;2.5225948152642688
-1.1431853071796323;2.4113926828356136
-1.1231853071796323;2.310465867242389
-1.1031853071796323;2.218499791823731
-1.0831853071796322;2.1343957628449775
-1.0631853071796322;2.057228445496545
-1.0431853071796322;1.9862130118755317
-1.0231853071796322;1.9206794882638314
-1.0031853071796322;1.860052526026005
-0.9831853071796322;1.8038353805128982
-0.9631853071796321;1.7515966732690442
-0.9431853071796321;1.7029604462043149
-0.9231853071796321;1.657597298279223
-0.9031853071796321;1.6152174971327253
-0.8831853071796321;1.57556521646706
-0.863185307179632;1.5384137510417948
-0.843185307179632;1.5035615211931235
-0.823185307179632;1.4708287190486462
-0.803185307179632;1.4400544794226418
-0.783185307179632;1.4110944821494313
-0.763185307179632;1.3838189110866232
-0.7431853071796319;1.3581107094763316
-0.7231853071796319;1.3338640827389385
-0.7031853071796319;1.3109832087982138
-0.6831853071796319;1.2893811232309667
-0.6631853071796319;1.2689787523021048
-0.6431853071796318;1.2497040715945815
-0.6231853071796318;1.2314913717095226
-0.6031853071796318;1.2142806155772188
-0.5831853071796318;1.1980168744265796
-0.5631853071796318;1.1826498315199152
-0.5431853071796318;1.1681333444586754
-0.5231853071796317;1.1544250582728848
-0.5031853071796317;1.141486062677122
-0.4831853071796317;1.12928058785264
-0.4631853071796317;1.1177757339334504
-0.44318530717963167;1.1069412300622112
-0.42318530717963165;1.0967492194620951
-0.40318530717963164;1.0871740674621146
-0.3831853071796316;1.078192169285862
-0.3631853071796316;1.0697818817935962
-0.3431853071796316;1.06192325247094
-0.32318530717963156;1.0545979889909667
-0.30318530717963155;1.0477893243752707
-0.28318530717963153;1.0414819179868182
-0.2631853071796315;1.035661766877757
-0.24318530717963152;1.0303161264964826
-0.22318530717963153;1.0254334398849323
-0.20318530717963154;1.0210032746079527
-0.18318530717963155;1.0170162667539955
-0.16318530717963156;1.0134640714323693
-0.14318530717963157;1.010339319268544
-0.12318530717963157;1.00763557846702
-0.10318530717963156;1.0053473220723275
-0.08318530717963156;1.0034699001138982
-0.06318530717963156;1.0019995163708184
-0.04318530717963155;1.0009332095386791
-0.02318530717963155;1.0002688386236478
-0.003185307179631551;1.0000050724291505
0.01681469282036845;1.000141383038839
0.03681469282036845;1.0006780432363678
0.056814692820368454;1.001616127838481
0.07681469282036846;1.0029575189535522
0.09681469282036846;1.004704915213527
0.11681469282036847;1.0068618450637343
0.13681469282036846;1.0094326842328023
0.15681469282036845;1.0124226775444796
0.17681469282036844;1.0158379777120081
0.19681469282036843;1.019685624690955
0.21681469282036842;1.0239736630223155
0.2368146928203684;1.0287111269257179
0.2568146928203684;1.0339081027070471
0.2768146928203684;1.0395757826295964
0.29681469282036843;1.0457265256648731
0.31681469282036845;1.052373925755271
0.33681469282036847;1.0595328883143873
0.3568146928203685;1.0672197157971266
0.3768146928203685;1.0754522032930824
0.3968146928203685;1.0842497452357767
0.41681469282036854;1.0936334544802344
0.43681469282036856;1.1036262951859235
0.4568146928203686;1.114253231155719
